iorig,x,y,z,vx,vy,vz,u,h,alpha,divv
64,0.98828125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,-0.007356456357954799,0.0,3.749805137617738,0.019106261,0.0,1.4930672e-08
65,0.01171875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.007356456359990601,0.0,3.74956169068508,0.019105881,0.0,-8.9308934e-08
66,0.02734375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.01709618887608512,0.0,3.74956169068508,0.019105881,0.0,-2.0755134e-07
67,0.04296875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.026671275747574375,0.0,3.74956169068508,0.019105881,0.0,-3.2379492e-07
68,0.05859375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.035989503653610415,0.0,3.74956169068508,0.019105881,0.0,-4.3692017e-07
69,0.07421875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.04496113296559599,0.0,3.74956169068508,0.019105881,0.0,-5.458376e-07
70,0.08984375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.05349976198886467,0.0,3.74956169068508,0.019105881,0.0,-6.494984e-07
71,0.10546875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.06152315905823241,0.0,3.74956169068508,0.019105881,0.0,-7.4690416e-07
72,0.12109375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.06895405447388574,0.0,3.74956169068508,0.019105881,0.0,-8.371168e-07
73,0.13671875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.07572088465083075,0.0,3.74956169068508,0.019105881,0.0,-9.192675e-07
74,0.15234375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.08175848131533744,0.0,3.74956169068508,0.019105881,0.0,-9.925652e-07
75,0.16796875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.08700869911104014,0.0,3.74956169068508,0.019105881,0.0,-1.056304e-06
76,0.18359375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.09142097557050494,0.0,3.74956169068508,0.019105881,0.0,-1.1098699e-06
77,0.19921875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.09495281805943123,0.0,3.74956169068508,0.019105881,0.0,-1.1527472e-06
78,0.21484375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.09757021300394896,0.0,3.74956169068508,0.019105881,0.0,-1.184523e-06
79,0.23046875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.0992479534599286,0.0,3.74956169068508,0.019105881,0.0,-1.2048911e-06
80,0.24609375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.09996988186963275,0.0,3.74956169068508,0.019105881,0.0,-1.2136554e-06
81,0.26171875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.09972904566782972,0.0,3.74956169068508,0.019105881,0.0,-1.2107316e-06
82,0.27734375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.09852776423879733,0.0,3.74956169068508,0.019105881,0.0,-1.1961479e-06
83,0.29296875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.09637760657938449,0.0,3.74956169068508,0.019105881,0.0,-1.1700445e-06
84,0.30859375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.09329927988324718,0.0,3.74956169068508,0.019105881,0.0,-1.132673e-06
85,0.32421875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.08932243011925396,0.0,3.74956169068508,0.019105881,0.0,-1.0843931e-06
86,0.33984375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.08448535652459957,0.0,3.74956169068508,0.019105881,0.0,-1.02567e-06
87,0.35546875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.0788346427622142,0.0,3.74956169068508,0.019105881,0.0,-9.570692e-07
88,0.37109375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.07242470829462436,0.0,3.74956169068508,0.019105881,0.0,-8.792513e-07
89,0.38671875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.06531728429477993,0.0,3.74956169068508,0.019105881,0.0,-7.9296564e-07
90,0.40234375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.05758081914111303,0.0,3.74956169068508,0.019105881,0.0,-6.990433e-07
91,0.41796875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.049289819222236034,0.0,3.74956169068508,0.019105881,0.0,-5.983888e-07
92,0.43359375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.04052413139968981,0.0,3.74956169068508,0.019105881,0.0,-4.919715e-07
93,0.44921875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.03136817403901842,0.0,3.74956169068508,0.019105881,0.0,-3.8081626e-07
94,0.46484375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.021910124014761133,0.0,3.74956169068508,0.019105881,0.0,-2.6599352e-07
95,0.48046875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.012241067518948196,0.0,3.74956169068508,0.019105881,0.0,-1.4860915e-07
96,0.49609375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,0.002454122851278837,0.0,3.74956169068508,0.019105881,0.0,-2.979357e-08
97,0.51171875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.007356456361008505,0.0,3.74956169068508,0.019105881,0.0,8.9308934e-08
98,0.52734375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.017096188877090766,0.0,3.74956169068508,0.019105881,0.0,2.0755134e-07
99,0.54296875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.026671275748558078,0.0,3.74956169068508,0.019105881,0.0,3.2379492e-07
100,0.55859375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.035989503654562695,0.0,3.74956169068508,0.019105881,0.0,4.3692017e-07
101,0.57421875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.04496113296650768,0.0,3.74956169068508,0.019105881,0.0,5.458376e-07
102,0.58984375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.053499761989726995,0.0,3.74956169068508,0.019105881,0.0,6.494984e-07
103,0.60546875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.06152315905903706,0.0,3.74956169068508,0.019105881,0.0,7.4690416e-07
104,0.62109375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.06895405447462495,0.0,3.74956169068508,0.019105881,0.0,8.371168e-07
105,0.63671875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.07572088465149746,0.0,3.74956169068508,0.019105881,0.0,9.192675e-07
106,0.65234375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.08175848131592515,0.0,3.74956169068508,0.019105881,0.0,9.925652e-07
107,0.66796875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.08700869911154326,0.0,3.74956169068508,0.019105881,0.0,1.056304e-06
108,0.68359375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.09142097557091856,0.0,3.74956169068508,0.019105881,0.0,1.1098699e-06
109,0.69921875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.09495281805975142,0.0,3.74956169068508,0.019105881,0.0,1.1527472e-06
110,0.71484375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.09757021300417258,0.0,3.74956169068508,0.019105881,0.0,1.184523e-06
111,0.73046875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.09924795346005355,0.0,3.74956169068508,0.019105881,0.0,1.2048911e-06
112,0.74609375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.0999698818696578,0.0,3.74956169068508,0.019105881,0.0,1.2136554e-06
113,0.76171875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.09972904566775465,0.0,3.74956169068508,0.019105881,0.0,1.2107316e-06
114,0.77734375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.09852776423862285,0.0,3.74956169068508,0.019105881,0.0,1.1961479e-06
115,0.79296875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.09637760657911225,0.0,3.74956169068508,0.019105881,0.0,1.1700445e-06
116,0.80859375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.09329927988287984,0.0,3.74956169068508,0.019105881,0.0,1.132673e-06
117,0.82421875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.08932243011879504,0.0,3.74956169068508,0.019105881,0.0,1.0843931e-06
118,0.83984375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.0844853565240535,0.0,3.74956169068508,0.019105881,0.0,1.02567e-06
119,0.85546875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.07883464276158622,0.0,3.74956169068508,0.019105881,0.0,9.570692e-07
120,0.87109375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.07242470829392054,0.0,3.74956169068508,0.019105881,0.0,8.792513e-07
121,0.88671875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.06531728429400702,0.0,3.74956169068508,0.019105881,0.0,7.9296564e-07
122,0.90234375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.057580819140278544,0.0,3.74956169068508,0.019105881,0.0,6.990433e-07
123,0.91796875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.04928981922134791,0.0,3.74956169068508,0.019105881,0.0,5.983888e-07
124,0.93359375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.04052413139875669,0.0,3.74956169068508,0.019105881,0.0,4.919715e-07
125,0.94921875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.031368174038049215,0.0,3.74956169068508,0.019105881,0.0,3.8081626e-07
126,0.96484375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.021910124013765252,0.0,3.74956169068508,0.019105881,0.0,2.6599352e-07
127,0.98046875,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.012241067517935146,0.0,3.74956169068508,0.019105881,0.0,1.4860915e-07
128,0.99609375,0.023647306348283208,-0.14671422938545076,-0.4998831038529095,-0.002454122850258462,0.0,3.74956169068508,0.019105881,0.0,2.9793565e-08
129,0.00390625,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.002454122852299201,0.0,3.7490143386304826,0.019104877,0.0,-6.719577e-08
130,0.01953125,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.012241067519961192,0.0,3.7490143386304826,0.019104877,0.0,-3.351699e-07
131,0.03515625,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.021910124015757003,0.0,3.7490143386304826,0.019104877,0.0,-5.999161e-07
132,0.05078125,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.03136817403998758,0.0,3.7490143386304826,0.019104877,0.0,-8.5888485e-07
133,0.06640625,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.040524131400622915,0.0,3.7490143386304826,0.019104877,0.0,-1.109582e-06
134,0.08203125,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.04928981922312411,0.0,3.7490143386304826,0.019104877,0.0,-1.3495933e-06
135,0.09765625,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.057580819141947515,0.0,3.7490143386304826,0.019104877,0.0,-1.5766072e-06
136,0.11328125,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.06531728429555278,0.0,3.7490143386304826,0.019104877,0.0,-1.7884377e-06
137,0.12890625,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.07242470829532814,0.0,3.7490143386304826,0.019104877,0.0,-1.9830445e-06
138,0.14453125,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.07883464276284215,0.0,3.7490143386304826,0.019104877,0.0,-2.1585533e-06
